method,train_config,attack,class,family,accuracy,average_precision,auc
FreqNet,gan,clean,MEAN_ALL,ALL,0.4647,0.4346,0.4093
FreqNet,gan,jpeg_q90,MEAN_ALL,ALL,0.4729,0.4336,0.3953
FreqNet,gan,jpeg_q80,MEAN_ALL,ALL,0.5051,0.4481,0.4003
FreqNet,gan,jpeg_q70,MEAN_ALL,ALL,0.4696,0.4046,0.3227
FreqNet,gan,jpeg_q60,MEAN_ALL,ALL,0.4168,0.3895,0.3089
FreqNet,gan,jpeg_q50,MEAN_ALL,ALL,0.4363,0.3928,0.3196
FreqNet,gan,jpeg_q40,MEAN_ALL,ALL,0.417,0.3958,0.3197
FreqNet,gan,jpeg_q30,MEAN_ALL,ALL,0.4552,0.4138,0.35
FreqNet,gan,jpeg_q20,MEAN_ALL,ALL,0.4299,0.391,0.2926
FreqNet,gan,blur_s1.0,MEAN_ALL,ALL,0.476,0.4639,0.4379
FreqNet,gan,blur_s2.0,MEAN_ALL,ALL,0.4734,0.4205,0.3638
FreqNet,gan,rot_30,MEAN_ALL,ALL,0.488,0.4826,0.4617
FreqNet,gan,rot_180,MEAN_ALL,ALL,0.5025,0.5134,0.4972
FreqNet,gan,gnoise_s0.05,MEAN_ALL,ALL,0.4585,0.4696,0.4692
FreqNet,gan,sp_0.02,MEAN_ALL,ALL,0.4356,0.4269,0.4202
FreqNet,gan,resize_0.5,MEAN_ALL,ALL,0.4987,0.4777,0.4564
FreqNet,gan,hflip,MEAN_ALL,ALL,0.472,0.4324,0.3938
FreqNet,dm_open,clean,MEAN_ALL,ALL,0.7445,0.7781,0.7407
FreqNet,dm_open,jpeg_q90,MEAN_ALL,ALL,0.7339,0.74,0.6957
FreqNet,dm_open,jpeg_q80,MEAN_ALL,ALL,0.6894,0.6989,0.6568
FreqNet,dm_open,jpeg_q70,MEAN_ALL,ALL,0.6988,0.7211,0.6962
FreqNet,dm_open,jpeg_q60,MEAN_ALL,ALL,0.6866,0.7221,0.6936
FreqNet,dm_open,jpeg_q50,MEAN_ALL,ALL,0.6803,0.6882,0.6605
FreqNet,dm_open,jpeg_q40,MEAN_ALL,ALL,0.6523,0.6634,0.6258
FreqNet,dm_open,jpeg_q30,MEAN_ALL,ALL,0.6622,0.6704,0.6394
FreqNet,dm_open,jpeg_q20,MEAN_ALL,ALL,0.6577,0.6879,0.6468
FreqNet,dm_open,blur_s1.0,MEAN_ALL,ALL,0.8159,0.8252,0.7949
FreqNet,dm_open,blur_s2.0,MEAN_ALL,ALL,0.8182,0.8343,0.8109
FreqNet,dm_open,rot_30,MEAN_ALL,ALL,0.6137,0.6672,0.6308
FreqNet,dm_open,rot_180,MEAN_ALL,ALL,0.5263,0.6395,0.5987
FreqNet,dm_open,gnoise_s0.05,MEAN_ALL,ALL,0.6151,0.7997,0.7921
FreqNet,dm_open,sp_0.02,MEAN_ALL,ALL,0.5341,0.7062,0.6949
FreqNet,dm_open,resize_0.5,MEAN_ALL,ALL,0.7787,0.8329,0.8079
FreqNet,dm_open,hflip,MEAN_ALL,ALL,0.7407,0.7744,0.7213
FreqNet,dm_closed,clean,MEAN_ALL,ALL,0.6582,0.6722,0.6415
FreqNet,dm_closed,jpeg_q90,MEAN_ALL,ALL,0.6721,0.6781,0.6458
FreqNet,dm_closed,jpeg_q80,MEAN_ALL,ALL,0.6672,0.6736,0.6548
FreqNet,dm_closed,jpeg_q70,MEAN_ALL,ALL,0.6719,0.6811,0.6605
FreqNet,dm_closed,jpeg_q60,MEAN_ALL,ALL,0.6654,0.6827,0.6646
FreqNet,dm_closed,jpeg_q50,MEAN_ALL,ALL,0.6843,0.6783,0.6291
